Name,Class,Parent,Centroid X µm,Centroid Y µm
Target: CD3,Target: CD3,Tumor,540.37,26.26
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Tumor,746.12,26.62
PathCellObject,,Tumor,23.85,30.04
PathCellObject,,Tumor,344.09,27.18
Target: CD68: FoxP3,Target: CD68: FoxP3,Tumor,495.04,30.01
PathCellObject,,Tumor,419.41,26.94
PathCellObject,,Tumor,521.87,30.68
PathCellObject,,Tumor,399.93,29.77
Target: CD3: CD4,Target: CD3: CD4,Tumor,626.03,31.13
Target: CD68,Target: CD68,Tumor,295.73,31.03
PathCellObject,,Tumor,460.59,32.2
PathCellObject,,Tumor,608.42,33
PathCellObject,,Tumor,337.61,33.18
PathCellObject,,Tumor,6.933,36.25
PathCellObject,,Tumor,424.38,35.2
PathCellObject,,Tumor,270.42,36.12
Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,Tumor,746.69,35.23
PathCellObject,,Tumor,414.04,35.59
PathCellObject,,Tumor,309.71,35.9
PathCellObject,,Tumor,365.92,35.64
PathCellObject,,Tumor,441.79,35.8
PathCellObject,,Tumor,397.34,37.3
Target: CD3: CD4,Target: CD3: CD4,Tumor,549.33,35.93
PathCellObject,,Tumor,374.75,35.72
PathCellObject,,Tumor,509.51,37.66
PathCellObject,,Tumor,382.78,39.34
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,573.82,35.8
PathCellObject,,Tumor,340.61,40.79
PathCellObject,,Tumor,535.48,39.29
Target: CD20: CD68: CD3,Target: CD20: CD68: CD3,Tumor,760.13,39.31
PathCellObject,,Tumor,461.88,40.15
PathCellObject,,Tumor,491.09,40.76
Target: CD3: CD8,Target: CD3: CD8,Tumor,200.57,38.84
PathCellObject,,Tumor,300.71,42.97
Target: CD20,Target: CD20,Tumor,600.94,41.44
PathCellObject,,Tumor,326.19,40.67
Target: CD3: CD8,Target: CD3: CD8,Tumor,624.68,43.24
Target: CD20,Target: CD20,Tumor,750.46,43.36
Target: CD68,Target: CD68,Tumor,584.01,40.95
Target: CD68,Target: CD68,Tumor,112.3,43.32
PathCellObject,,Tumor,499.68,44.61
PathCellObject,,Tumor,314.11,45.21
PathCellObject,,Tumor,425.35,45.36
Target: CD3,Target: CD3,Tumor,568.56,43.41
Target: CD68,Target: CD68,Tumor,263.4,44.88
Target: CD4,Target: CD4,Tumor,544.76,48.26
Target: CD3: CD4,Target: CD3: CD4,Tumor,556.98,44.46
PathCellObject,,Tumor,319.6,46.09
PathCellObject,,Tumor,470.54,45.29
PathCellObject,,Tumor,524.73,45.98
Target: CD4,Target: CD4,Tumor,175.75,45.64
Target: CD68,Target: CD68,Tumor,189.51,44.75
Target: CD3: CD4,Target: CD3: CD4,Tumor,579.18,48.62
PathCellObject,,Tumor,368.35,46.99
PathCellObject,,Tumor,437.96,46.59
PathCellObject,,Tumor,19.95,46.95
PathCellObject,,Tumor,246.94,48.27
PathCellObject,,Tumor,478.64,47.16
PathCellObject,,Tumor,511.67,48.03
PathCellObject,,Tumor,281.15,51.93
PathCellObject,,Tumor,459.65,50.85
PathCellObject,,Tumor,395.01,51.06
PathCellObject,,Tumor,537.1,53.68
PathCellObject,,Tumor,570.22,50.65
PathCellObject,,Tumor,46.46,49.24
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,560.36,50.87
PathCellObject,,Tumor,298.12,50.44
PathCellObject,,Tumor,431.01,52.18
PathCellObject,,Tumor,338.67,51.39
PathCellObject,,Tumor,487.66,50.32
PathCellObject,,Tumor,185.67,55.1
PathCellObject,,Tumor,220.85,53.57
PathCellObject,,Tumor,324.95,53.72
PathCellObject,,Tumor,198.31,52.83
PathCellObject,,Tumor,360.77,50.93
Target: CD3: FoxP3,Target: CD3: FoxP3,Tumor,265.78,56.13
PathCellObject,,Tumor,504.91,54.32
PathCellObject,,Tumor,28.99,56.89
Target: CD3: CD4: FoxP3,Target: CD3: CD4: FoxP3,Tumor,170.59,55.21
Target: CD68: CD3: CD4: CD8: FoxP3,Target: CD68: CD3: CD4: CD8: FoxP3,Tumor,617.39,54.64
Target: FoxP3,Target: FoxP3,Tumor,41.32,57.17
PathCellObject,,Tumor,291.93,56.84
PathCellObject,,Tumor,11.07,53.74
PathCellObject,,Tumor,493.98,56.54
PathCellObject,,Tumor,239.72,60.06
PathCellObject,,Tumor,374.46,54.47
Target: FoxP3,Target: FoxP3,Tumor,385.06,55.58
PathCellObject,,Tumor,515.73,55.85
PathCellObject,,Tumor,525.35,55.77
PathCellObject,,Tumor,349.1,58.33
PathCellObject,,Tumor,356.81,56.62
PathCellObject,,Tumor,366.5,56.8
PathCellObject,,Tumor,532.57,56.91
PathCellObject,,Tumor,297.75,57.06
Target: CD20: CD4,Target: CD20: CD4,Tumor,562.75,59.66
Target: CD3,Target: CD3,Tumor,482.05,59.95
PathCellObject,,Tumor,316.72,60.2
PathCellObject,,Tumor,436.48,58.01
Target: CD3: CD4,Target: CD3: CD4,Tumor,575.53,61.83
Target: FoxP3,Target: FoxP3,Tumor,18.2,63.07
PathCellObject,,Tumor,3.885,62.11
PathCellObject,,Tumor,303.47,60.95
PathCellObject,,Tumor,199.1,60.44
PathCellObject,,Tumor,333.57,61.36
PathCellObject,,Tumor,377.54,63
PathCellObject,,Tumor,508.31,62.14
PathCellObject,,Tumor,524.55,64.48
Target: CD3: CD4,Target: CD3: CD4,Tumor,168.51,62.82
PathCellObject,,Tumor,474.19,63.17
PathCellObject,,Tumor,531.2,63.33
Target: CD68,Target: CD68,Tumor,254.41,63.66
PathCellObject,,Tumor,341.57,63.98
PathCellObject,,Tumor,362.02,63.36
PathCellObject,,Tumor,428.5,61.52
Target: CD3: CD4,Target: CD3: CD4,Tumor,583.96,63.1
PathCellObject,,Tumor,10.78,65.3
PathCellObject,,Tumor,187.27,64.93
PathCellObject,,Tumor,219.34,68.82
Target: CD68,Target: CD68,Tumor,278.27,64.64
PathCellObject,,Tumor,387.72,63.16
PathCellObject,,Tumor,401.9,62.86
PathCellObject,,Tumor,439.95,65.16
PathCellObject,,Tumor,516.9,66.22
PathCellObject,,Tumor,324.79,66.11
PathCellObject,,Tumor,416.49,62.39
PathCellObject,,Tumor,369.97,64.49
Target: CD3: CD4,Target: CD3: CD4,Tumor,501.32,65.24
Target: CD8,Target: CD8,Tumor,549.87,66.09
Target: CD68: CD3: CD4,Target: CD68: CD3: CD4,Tumor,760.43,63.85
PathCellObject,,Tumor,451.46,65.68
PathCellObject,,Tumor,197.95,66.7
Target: CD3,Target: CD3,Tumor,159.16,69.4
PathCellObject,,Tumor,292.42,67.75
PathCellObject,,Tumor,393.9,67.02
PathCellObject,,Tumor,424.37,66.4
PathCellObject,,Tumor,490.33,70.1
PathCellObject,,Tumor,37.25,69.17
Target: CD68,Target: CD68,Tumor,133.66,65.54
PathCellObject,,Tumor,207.08,66.61
Target: FoxP3,Target: FoxP3,Tumor,460.26,69.96
PathCellObject,,Tumor,230.81,69.04
PathCellObject,,Tumor,334.82,69.97
Target: CD3: FoxP3,Target: CD3: FoxP3,Tumor,409.59,69.72
PathCellObject,,Tumor,308.11,69.43
Target: CD8,Target: CD8,Tumor,47.25,70.13
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,592.66,71.94
PathCellObject,,Tumor,368.19,72.29
PathCellObject,,Tumor,387.46,72.46
PathCellObject,,Tumor,419.13,72.54
PathCellObject,,Tumor,172.02,73.91
PathCellObject,,Tumor,270.68,71.41
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,750.21,71.02
Target: CD68: CD3: CD8,Target: CD68: CD3: CD8,Tumor,133.31,73.89
PathCellObject,,Tumor,188.22,72.95
PathCellObject,,Tumor,259.96,75.55
PathCellObject,,Tumor,348.79,70.77
PathCellObject,,Tumor,357.29,71.47
PathCellObject,,Tumor,200.83,74.83
PathCellObject,,Tumor,426.74,74.42
PathCellObject,,Tumor,506.62,76.24
PathCellObject,,Tumor,296.69,74.38
PathCellObject,,Tumor,210.03,75.16
PathCellObject,,Tumor,399.9,75.71
PathCellObject,,Tumor,436.05,75.4
PathCellObject,,Tumor,25.39,79.36
Target: CD4,Target: CD4,Tumor,555.98,75.81
PathCellObject,,Tumor,245.22,73.95
PathCellObject,,Tumor,279.59,74.9
PathCellObject,,Tumor,193.67,76.71
PathCellObject,,Tumor,413.83,79.73
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,578.36,76.25
PathCellObject,,Tumor,309.96,78.31
PathCellObject,,Tumor,343.67,77.91
Target: CD3: CD4,Target: CD3: CD4,Tumor,756.11,78.35
PathCellObject,,Tumor,151.08,76.45
PathCellObject,,Tumor,326.51,76.49
PathCellObject,,Tumor,354.54,80.63
Target: CD68: CD4,Target: CD68: CD4,Tumor,547.33,80.44
Target: CD20: CD3: CD8,Target: CD20: CD3: CD8,Tumor,585.82,79.71
PathCellObject,,Tumor,8.39,82.51
PathCellObject,,Tumor,181.39,78.86
PathCellObject,,Tumor,524.39,76.67
Target: CD68,Target: CD68,Tumor,299.44,79.69
PathCellObject,,Tumor,443.49,79.71
PathCellObject,,Tumor,536.03,79.46
PathCellObject,,Tumor,492.15,81.94
PathCellObject,,Tumor,517.72,82.17
Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Tumor,771.8,79.89
PathCellObject,,Tumor,230.59,80.57
Target: FoxP3,Target: FoxP3,Tumor,482.68,80.35
PathCellObject,,Tumor,132.6,82.3
PathCellObject,,Tumor,146.26,82.18
PathCellObject,,Tumor,245.06,82.16
PathCellObject,,Tumor,376.16,82.4
Target: CD3: CD4: FoxP3,Target: CD3: CD4: FoxP3,Tumor,277.11,82.33
PathCellObject,,Tumor,403.25,83.53
PathCellObject,,Tumor,160.71,83.46
Target: CD3: FoxP3,Target: CD3: FoxP3,Tumor,266.93,84.26
PathCellObject,,Tumor,335.19,83.51
Target: CD3: CD8: FoxP3,Target: CD3: CD8: FoxP3,Tumor,51.01,81.88
PathCellObject,,Tumor,321.32,84.69
PathCellObject,,Tumor,464.95,86
PathCellObject,,Tumor,194.84,86.02
PathCellObject,,Tumor,302.79,86.46
PathCellObject,,Tumor,389.58,84.51
PathCellObject,,Tumor,363.45,88.09
PathCellObject,,Tumor,452.35,86.93
PathCellObject,,Tumor,527.36,87.73
PathCellObject,,Tumor,172.52,88.19
PathCellObject,,Tumor,41.07,89.72
Target: CD8,Target: CD8,Tumor,239.74,89.2
PathCellObject,,Tumor,155,89.42
PathCellObject,,Tumor,182.8,89.27
PathCellObject,,Tumor,478.95,90.5
PathCellObject,,Tumor,509.78,88.25
Target: CD20: CD3: CD4,Target: CD20: CD3: CD4,Tumor,773.89,90.17
PathCellObject,,Tumor,124.97,90
Target: FoxP3,Target: FoxP3,Tumor,55,90.37
Target: CD3: CD8,Target: CD3: CD8,Tumor,278.78,91.07
Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Tumor,576.8,88.98
PathCellObject,,Tumor,233.16,91.86
Target: FoxP3,Target: FoxP3,Tumor,136.29,91.49
Target: CD3,Target: CD3,Tumor,383.52,92.27
PathCellObject,,Tumor,224.35,92.08
Target: CD4,Target: CD4,Tumor,538.71,93.18
PathCellObject,,Tumor,313.43,93.7
PathCellObject,,Tumor,298.2,93.7
Target: CD68: FoxP3,Target: CD68: FoxP3,Tumor,67.77,95.37
PathCellObject,,Tumor,213.26,92.51
PathCellObject,,Tumor,408.25,94.49
PathCellObject,,Tumor,513.71,95.44
PathCellObject,,Tumor,18.07,98.35
PathCellObject,,Tumor,392.08,97.5
PathCellObject,,Tumor,435.36,94.7
Target: CD3: CD8,Target: CD3: CD8,Tumor,267.8,94.51
PathCellObject,,Tumor,502.1,95.89
Target: CD3: FoxP3,Target: CD3: FoxP3,Tumor,130.2,97.17
Target: CD8,Target: CD8,Tumor,154.5,99.7
PathCellObject,,Tumor,323.81,98
PathCellObject,,Tumor,424.29,92.98
Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Tumor,705.35,95.22
PathCellObject,,Tumor,333.97,97.06
PathCellObject,,Tumor,342.88,93.83
PathCellObject,,Tumor,360.36,97.73
Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Tumor,557.57,97.78
Target: CD3: CD4,Target: CD3: CD4,Tumor,573.31,99.53
Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Tumor,592.95,95.92
PathCellObject,,Tumor,189.71,97.91
PathCellObject,,Tumor,445.79,98.77
PathCellObject,,Tumor,4.35,100.64
PathCellObject,,Tumor,29.5,102.1
Target: CD68,Target: CD68,Tumor,49.97,102.77
PathCellObject,,Tumor,57.39,100.5
Target: CD8,Target: CD8,Tumor,170.17,101.77
PathCellObject,,Tumor,217.54,98.4
Target: CD68: CD4,Target: CD68: CD4,Tumor,109.47,100.32
Target: CD3: CD8,Target: CD3: CD8,Tumor,248.24,98.56
PathCellObject,,Tumor,421.8,100.66
Target: CD3: CD8,Target: CD3: CD8,Tumor,282.66,100.71
PathCellObject,,Tumor,233.25,102.65
PathCellObject,,Tumor,267.3,101.59
PathCellObject,,Tumor,462.13,102.6
PathCellObject,,Tumor,496.65,100.69
PathCellObject,,Tumor,224.77,104.28
PathCellObject,,Tumor,40.48,104.44
PathCellObject,,Tumor,348.14,104.27
PathCellObject,,Tumor,214.3,103.91
Target: CD3: CD8,Target: CD3: CD8,Tumor,258.36,102.21
Target: CD68: CD4,Target: CD68: CD4,Tumor,583.47,104.65
PathCellObject,,Tumor,182.87,104.81
PathCellObject,,Tumor,202.49,103.57
PathCellObject,,Tumor,474.24,103.95
Target: CD8,Target: CD8,Tumor,519.42,104.4
PathCellObject,,Tumor,139.27,106.72
PathCellObject,,Tumor,294.86,104.42
PathCellObject,,Tumor,367.96,106.67
Target: CD4,Target: CD4,Tumor,537.49,102.97
Target: CD20,Target: CD20,Tumor,680.78,107.1
PathCellObject,,Tumor,430.14,106.51
PathCellObject,,Tumor,493.67,107.28
PathCellObject,,Tumor,453.67,109.67
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,531.69,107.23
PathCellObject,,Tumor,129.24,105.93
PathCellObject,,Tumor,244.47,107.93
PathCellObject,,Tumor,278.75,107.57
PathCellObject,,Tumor,266.28,109.78
Target: CD3: CD8,Target: CD3: CD8,Tumor,396.35,108.64
PathCellObject,,Tumor,383.82,109.28
PathCellObject,,Tumor,120.33,111.45
PathCellObject,,Tumor,289.59,110.97
PathCellObject,,Tumor,507.67,114.24
PathCellObject,,Tumor,36.34,114.78
PathCellObject,,Tumor,194.62,109.6
PathCellObject,,Tumor,333.18,114.19
PathCellObject,,Tumor,485.13,111.19
PathCellObject,,Tumor,60.81,112.45
PathCellObject,,Tumor,212.3,113.58
PathCellObject,,Tumor,275.83,114.06
PathCellObject,,Tumor,72.35,110.57
PathCellObject,,Tumor,183.99,113.47
PathCellObject,,Tumor,254.01,113.04
PathCellObject,,Tumor,422.93,113.48
PathCellObject,,Tumor,435.85,114.95
PathCellObject,,Tumor,221.6,115.43
Target: CD20: CD68: CD4: CD8,Target: CD20: CD68: CD4: CD8,Tumor,539.17,114.78
PathCellObject,,Tumor,128.09,117.41
PathCellObject,,Tumor,342.2,117.19
Target: CD3: CD8,Target: CD3: CD8,Tumor,199.7,115.94
PathCellObject,,Tumor,350.95,113.63
Target: CD8,Target: CD8,Tumor,415.44,117.11
PathCellObject,,Tumor,301.18,117.43
Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Tumor,525.13,118.34
PathCellObject,,Tumor,287.04,114.69
PathCellObject,,Tumor,260.54,115.12
PathCellObject,,Tumor,241.31,118.91
Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Tumor,547.06,117.3
Target: CD8,Target: CD8,Tumor,68.34,118.36
PathCellObject,,Tumor,169.79,115.48
PathCellObject,,Tumor,6.734,118.14
PathCellObject,,Tumor,21.14,118.62
PathCellObject,,Tumor,355.59,119.55
PathCellObject,,Tumor,405.66,116.99
PathCellObject,,Tumor,473.7,117.2
PathCellObject,,Tumor,28.77,117.12
PathCellObject,,Tumor,394.26,120.52
PathCellObject,,Tumor,495.53,121.51
Target: CD20: CD68: CD3: CD4: CD8,Target: CD20: CD68: CD3: CD4: CD8,Tumor,705.57,116.05
PathCellObject,,Tumor,265.24,121.69
PathCellObject,,Tumor,284.95,120.2
PathCellObject,,Tumor,381.14,120.83
PathCellObject,,Tumor,250.95,122.53
PathCellObject,,Tumor,487.45,124.08
PathCellObject,,Tumor,76.47,122.72
PathCellObject,,Tumor,184.21,122.11
PathCellObject,,Tumor,175.02,125.09
PathCellObject,,Tumor,203.14,128.83
PathCellObject,,Tumor,32.28,125.44
PathCellObject,,Tumor,163.38,125.87
Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Tumor,711.55,126.07
PathCellObject,,Tumor,191.72,125.69
PathCellObject,,Tumor,481.1,125.94
PathCellObject,,Tumor,444.77,127.05
Target: CD20: CD68: CD3: CD4,Target: CD20: CD68: CD3: CD4,Tumor,697.97,126.24
PathCellObject,,Tumor,471.84,128.85
Target: CD4,Target: CD4,Tumor,509.55,128.35
PathCellObject,,Tumor,179.91,126.55
PathCellObject,,Tumor,454.19,127.69
PathCellObject,,Tumor,216.21,127.76
Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Tumor,554.76,127.34
PathCellObject,,Tumor,99.07,126.99
PathCellObject,,Tumor,286.09,130.41
Target: CD8,Target: CD8,Tumor,590.64,125.04
Target: CD4,Target: CD4,Tumor,754.69,128.85
Target: CD68,Target: CD68,Tumor,536.05,129.74
PathCellObject,,Tumor,4.384,129.28
PathCellObject,,Tumor,115.98,130.56
PathCellObject,,Tumor,16.89,130.92
PathCellObject,,Tumor,84.75,132.52
PathCellObject,,Tumor,408.62,129.17
PathCellObject,,Tumor,92.36,131.34
PathCellObject,,Tumor,546.84,132.74
Target: CD3: CD8,Target: CD3: CD8,Tumor,581.57,129.72
Target: CD3: CD8,Target: CD3: CD8,Tumor,763.87,130.28
PathCellObject,,Tumor,235.22,130.49
PathCellObject,,Tumor,298.38,131.83
PathCellObject,,Tumor,183.94,134.01
PathCellObject,,Tumor,265.36,131.35
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,596.52,132.22
PathCellObject,,Tumor,425.64,133.04
PathCellObject,,Tumor,383.35,132.87
PathCellObject,,Tumor,137.75,136.13
PathCellObject,,Tumor,151.13,133.81
Target: CD68: CD4,Target: CD68: CD4,Tumor,523.68,135.59
PathCellObject,,Tumor,64.44,132.76
PathCellObject,,Tumor,311.14,137.12
PathCellObject,,Tumor,48.06,135.11
PathCellObject,,Tumor,55.82,136.1
PathCellObject,,Tumor,11.15,140.28
PathCellObject,,Tumor,38.34,136.63
Target: CD68: CD3: CD4,Target: CD68: CD3: CD4,Tumor,743.72,135.79
PathCellObject,,Tumor,71.2,136.04
Target: CD20: CD68: CD3: CD4: CD8,Target: CD20: CD68: CD3: CD4: CD8,Tumor,668.39,136.81
Target: CD4,Target: CD4,Tumor,488.73,137.99
PathCellObject,,Tumor,585.44,138.54
PathCellObject,,Tumor,406.41,139.72
PathCellObject,,Tumor,3.157,140.34
PathCellObject,,Tumor,258.96,138.2
PathCellObject,,Tumor,375.44,139.1
PathCellObject,,Tumor,461.11,139.88
PathCellObject,,Tumor,303.11,140.94
PathCellObject,,Tumor,234.32,139.11
PathCellObject,,Tumor,413.62,140.75
Target: CD68: CD4,Target: CD68: CD4,Tumor,631.03,140.38
Target: CD3: CD4,Target: CD3: CD4,Tumor,766.89,142.49
PathCellObject,,Tumor,64.52,142.06
PathCellObject,,Tumor,162.15,141.03
PathCellObject,,Tumor,172.05,139.73
Target: CD20: CD3: CD4: CD8,Target: CD20: CD3: CD4: CD8,Tumor,734.95,140.65
Target: CD20,Target: CD20,Tumor,357.67,141.08
PathCellObject,,Tumor,428.8,142.46
Target: CD20: CD3: CD8,Target: CD20: CD3: CD8,Tumor,547.5,142.56
PathCellObject,,Tumor,237.54,146.26
PathCellObject,,Tumor,267.6,141.47
PathCellObject,,Tumor,98.27,143.88
PathCellObject,,Tumor,181.65,142.79
PathCellObject,,Tumor,251.26,145.17
PathCellObject,,Tumor,77.36,143.95
PathCellObject,,Tumor,153.26,144.11
PathCellObject,,Tumor,561.31,142.98
PathCellObject,,Tumor,276.65,145.61
PathCellObject,,Tumor,420.38,144.75
PathCellObject,,Tumor,114.99,145.22
Target: CD3: CD4,Target: CD3: CD4,Tumor,671.97,145.74
PathCellObject,,Tumor,295.58,144.69
Target: CD68,Target: CD68,Tumor,138.58,147.8
PathCellObject,,Tumor,39.82,147.26
PathCellObject,,Tumor,23.56,147.64
PathCellObject,,Tumor,332.42,145.8
PathCellObject,,Tumor,56.52,152.4
Target: CD20,Target: CD20,Tumor,554.7,152.24
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,734.08,149.9
PathCellObject,,Tumor,179.56,150.96
PathCellObject,,Tumor,451.73,146.94
Target: CD3: CD4: CD8,Target: CD3: CD4: CD8,Tumor,743.73,150.31
PathCellObject,,Tumor,67.41,151.02
Target: CD3: CD4,Target: CD3: CD4,Tumor,526.87,148.68
PathCellObject,,Tumor,360.31,150.64
PathCellObject,,Tumor,146.69,152.1
PathCellObject,,Tumor,166.75,150.98
PathCellObject,,Tumor,445.67,152.32
PathCellObject,,Tumor,263.58,152.4
PathCellObject,,Tumor,326.78,150.97
PathCellObject,,Tumor,377.37,150.85
Target: CD20: CD3,Target: CD20: CD3,Tumor,542.52,153.78
Target: CD3: CD4: CD8: FoxP3,Target: CD3: CD4: CD8: FoxP3,Tumor,628.49,155.51
PathCellObject,,Tumor,209.45,152.73
PathCellObject,,Tumor,421.32,154.19
PathCellObject,,Tumor,31.92,156.64
PathCellObject,,Tumor,220.38,154.66
PathCellObject,,Tumor,302.96,153.12
PathCellObject,,Tumor,289.74,151.49
PathCellObject,,Tumor,368.57,156.37
Target: CD3,Target: CD3,Tumor,351.2,155.5
PathCellObject,,Tumor,406.29,155.43
PathCellObject,,Tumor,117.25,158.44
PathCellObject,,Tumor,438.78,158.35
PathCellObject,,Tumor,284.5,157.62
PathCellObject,,Tumor,323.06,156.9
PathCellObject,,Tumor,151.1,159.48
PathCellObject,,Tumor,162.13,158.05
PathCellObject,,Tumor,740.44,161.56
PathCellObject,,Tumor,204.44,162.59
PathCellObject,,Tumor,295.74,160.09
PathCellObject,,Tumor,377.47,159.43
PathCellObject,,Tumor,233.75,160.48
PathCellObject,,Tumor,273.93,161.78
PathCellObject,,Tumor,343.34,161.92
PathCellObject,,Tumor,169.27,163.08
Target: CD68: CD3: CD4: CD8,Target: CD68: CD3: CD4: CD8,Tumor,767.28,161.82
PathCellObject,,Tumor,320.45,164.64
Target: FoxP3,Target: FoxP3,Tumor,384.64,164.32
PathCellObject,,Tumor,244.75,165.46
Target: CD3: CD4: CD8: FoxP3,Target: CD3: CD4: CD8: FoxP3,Tumor,427.99,166.95
PathCellObject,,Tumor,749.16,164.61
Target: CD20: CD8,Target: CD20: CD8,Tumor,760.48,167.38
PathCellObject,,Tumor,193.92,168.18
PathCellObject,,Tumor,398.34,165.38
Target: CD4: FoxP3,Target: CD4: FoxP3,Tumor,457.03,166.37
PathCellObject,,Tumor,44.01,166.7
PathCellObject,,Tumor,284.51,166.57
PathCellObject,,Tumor,310.54,165.82
PathCellObject,,Tumor,220.22,168.03
PathCellObject,,Tumor,256.21,167.36
PathCellObject,,Tumor,298.82,167.03
PathCellObject,,Tumor,158.71,167.07
PathCellObject,,Tumor,408.44,169.1
Target: CD4,Target: CD4,Tumor,470.51,167.35
PathCellObject,,Tumor,370.32,169.84
PathCellObject,,Tumor,547.35,167.14
PathCellObject,,Tumor,340.47,170.83
Target: CD20: CD3: CD8,Target: CD20: CD3: CD8,Tumor,607.9,167.86
Target: CD20: CD68: CD4,Target: CD20: CD68: CD4,Tumor,623.19,168.67
PathCellObject,,Tumor,2.795,169.14
PathCellObject,,Tumor,304.4,172.09
PathCellObject,,Tumor,78.72,172.06
PathCellObject,,Tumor,331.16,170.23
